symptoms,label
abdominal cramps pelvic bleeding vaginal pain,Threatened Pregnancy
high fever body aches fatigue cough sore throat congestion started after cold,Influenza (Flu)
abdominal pain jaundice yellowing of the skin and eyes unexplained weight loss loss of appetite wear nausea vomiting,Liver Cancer
redness swelling discharge foul odor around the umbilical area noticed after exercise,Omphalitis
muscle weakness pain inflammation,Myositis
headache fever neurological deficits since this morning,Intracranial Abscess
abdominal or flank pain blood in urine frequent urination started after cold,Benign Kidney Cyst
growth deficiencies facial abnormalities developmental delays intellectual disability for a few days,Fetal Alcohol Syndrome
short stature gonadal dysgenesis webbed neck lymphedema,Turner syndrome
inability to conceive after one year of unprotected intercourse irregular or absent menstrual cycles hormonal imbalances age related factors other,Female Infertility of Unknown Cause
penis of the curvature during pain erections,Peyronie Disease
facial pain runny or smell congestion nasal of loss sneezing nose pressure,Nose Disorder
muscle weakness or fatigue irregular heartbeat or palpitations numbness or tingling nausea or vomiting worse at night,Hyperkalemia
on conjunctiva the the white eye near surface yellowish s cornea usually growth or,Pinguecula
abdominal pain bleeding organ dysfunction,Injury to Internal Organ
repeated regurgitation and re chewing of food,Rumination Disorder
since this morning ear pain hearing loss recurrent ear infections,Chronic Otitis Media
difficulty breathing rapid eupneic chest pain,Atelectasis
tire out frequent infections easy bruising or bleeding,Myelodysplastic Syndrome
widespread musculoskeletal pain fatigue sleep disturbances,Fibromyalgia
or black stools blood bloody vomiting pain abdominal,Gastrointestinal Hemorrhage
fatigue weakness pale skin shortness of breath improved with rest,Anemia
sudden brief muscle contractions or jerks often affecting the arms legs or face moderate,Myoclonus
repeated regurgitation and re jaw of food,Rumination Disorder
swelling pain dry mouth bad taste fever present,Submandibular stones
constant sudden onset of neurological symptoms that resolve within 24 hours,Transient ischemic attack
pain swelling deformity limited mobility or difficulty moving the arm bruising mild,Fracture of the Arm
frequent urination increased thirstiness weight loss,Type 1 Diabetes
chest pain sharp and stabbing worsens with deep breaths or lying down fever constant,Pericarditis
neurological symptoms that cannot be explained by a medical condition or injury such as paralysis blindness ictus or difficulty speaking,Conversion Disorder
severe lump or swelling in the testicles pain or discomfort changes in testicular size or shape,Testicular Cancer
hearing problems and balance in dizziness the progressive ringing ears loss tinnitus gradual or,Otosclerosis
pelvic pressure or heaviness urinary incontinence bowel movement difficulties discomfort or pain during intercourse for a few days,Pelvic Organ Prolapse
enlarged thyroid gland in the neck swelling or visible protrusion difficulty swallowing or breathing,Goiter
swelling pain frequency urinary in flank abdomen the,Hydronephrosis
collocate swelling facial changes,Acinic cell carcinoma
impulsive behaviors e g gambling stealing difficulty resisting urges,Impulse Control Disorder
moderate pain radiating from the lower back to the leg,Sciatica
peeling rash skin itching redness,Fungal Infection of the Skin
depends on the specific cranial nerve involved symptoms can include vision changes eye movement abnormalities facial weakness or paralysis difficulty swallowing or speaking loss of sensation in the face or other areas,Cranial Nerve Palsy
headaches vision problems such as blurred vision or loss of peripheral vision hormonal imbalances such as excessive production or deficiency of specific hormones fatigue weight gain or loss menstrual irregularities infertility erectile dysfunction growth abnormalities in children mood changes cognitive impairments,Pituitary Adenoma
painful blisters on the skin and mucous membranes,Pemphigus
fatigue abdominal swelling or pain enlarged liver elevated liver enzymes insulin resistance,Nonalcoholic Liver Disease (NASH)
red intumesce itchy bumps,Insect Bites
stiffness head pain positioning abnormal and neck,Torticollis
chest or back pain shortness of breath hoarseness difficulty swallowing severe,Thoracic Aortic Aneurysm
bloating weight deficiencies nutrient or diarrhea minerals pain failure abdominal to thrive vitamins chronic fatigue loss,Intestinal Malabsorption
headache fever neurological deficits,Intracranial Abscess
pain swelling bruising deformity restricted range of motion difficulty gripping or using the finger started after cold,Injury to the Finger
chronic constipation abdominal distension failure to pass meconium in newborns,Hirschsprung Disease
floaters spots or cobweb like shapes in vision flashes of light curtain like shadow over vision sudden vision loss,Retinal Detachment
fatigue fluid output retention decreased urine,Acute Kidney Injury
abdominal pain bloating heartburn nausea acidic gustatory modality,Indigestion
shoulder pain hump limited range of motion,Fracture of the Shoulder
worse at night headache dizziness nausea confusion,Carbon Monoxide Poisoning
extreme fatigue cognitive difficulties unrefreshing sleep intermittent,Chronic Fatigue Syndrome
blurred or distorted central vision blind spots worse in morning,Macular Degeneration
vaginal bleeding hamper abdominal pain nausea fatigue emotional distress,Induced Abortion
flu like symptoms fever headache fatigue anxiety confusion delusion difficulty swallowing,Rabies
widespread pain fatigue disturbances musculoskeletal sleep,Fibromyalgia
magnified swollen veins often in the legs,Varicose Veins
stiffness swelling joint reduced of pain motion range,Osteochondrosis
hypocalcemia low calcium levels tetany muscle spasms short height rounded face,Pseudohypoparathyroidism
absence or undescended testicle s empty scrotum smaller or underdeveloped testicle s inguinal hernia abnormal positioning of the testicle s higher in the groin area,Cryptorchidism
headache dizziness nausea or vomiting confusion memory problems sensitivity to light or noise mood changes severe,Concussion
red by caused itchy with or allergens rash irritants contact,Contact Dermatitis
field loss visual intraocular elevated pressure,Exfoliation Glaucoma
veins area in the rectal itchy painful swollen or,Hemorrhoids
shortness skin fatigue pale breath of weakness,Anemia due to Malignancy
fever fatigue body aches heart and digestive problems,Chagas Disease
compulsive use of opioids strong desire or cravings for opioids inability to control or reduce opioid use withdrawal symptoms such as nausea muscle aches anxiety when attempting to stop or reduce use tolerance to opioids continued use despite negative consequences such as legal issues health problems fever present,Opioid Use Disorder
swollen lymph nodes unexplained weight loss fatigue severe,Lymphoma
cough shortness breath pain or phlegm chest fatigue with fever pus of,Abscess of the Lung
pertinacious head pain tension in neck and shoulders,Chronic Headache
hemangioblastomas tumors in the brain spinal cord or other organs retinal angiomas abnormal blood vessel growth in the retina renal cell carcinomas kidney tumors pheochromocytomas adrenal gland tumors pancreatic cysts tumors other tumors or cysts no fever,Von Hippel-Lindau Disease
fatigue nausea excessive thirst kidney stones mild,Hypercalcemia
pain formation of or swelling in drainage pus discomfort or blood the area tailbone redness abscess,Pilonidal Cyst
gradual loss of computer peripheral vision tunnel vision,Open-Angle Glaucoma
severe swelling of the dump of the mouth fever difficulty swallowing drooling,Ludwig's angina
abnormal vaginal bleeding pelvic trouble or discomfort changes in bowel or bladder habits,Endometrial Cancer
fatigue pale sputter frequent infections easy bleeding or bruising,Leukemia
